Date : 2025-06-17 11:42:06
Directory : /home/ysh/LSM/rocksdb
Total : 1952 files,  603196 codes, 135051 comments, 102746 blanks, all 840993 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |      1,306 |    517,732 |    110,416 |     87,405 |    715,553 |
| Java         |        329 |     43,026 |     21,531 |      8,425 |     72,982 |
| Python       |         35 |      8,396 |      1,404 |      1,110 |     10,910 |
| JSON         |          2 |      7,757 |          0 |          2 |      7,759 |
| Markdown     |        104 |      7,504 |         32 |      2,802 |     10,338 |
| Shell Script |         40 |      4,146 |        885 |        782 |      5,813 |
| C            |          3 |      3,557 |        162 |        649 |      4,368 |
| Makefile     |          7 |      3,216 |        298 |        676 |      4,190 |
| CMake        |          7 |      2,498 |          0 |        180 |      2,678 |
| SCSS         |         16 |      1,730 |         78 |        287 |      2,095 |
| YAML         |         29 |      1,168 |         94 |         74 |      1,336 |
| HTML         |         51 |        983 |          1 |        107 |      1,091 |
| XML          |          9 |        595 |         18 |         27 |        640 |
| Ini          |          8 |        482 |          0 |        103 |        585 |
| PowerShell   |          1 |        303 |        104 |         87 |        494 |
| Ruby         |          3 |         66 |          9 |         22 |         97 |
| Docker       |          2 |         37 |         19 |          8 |         64 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |      1,952 |    603,196 |    135,051 |    102,746 |    840,993 |
| . (Files)                                                                                                  |         19 |      7,415 |        280 |      1,439 |      9,134 |
| .github                                                                                                    |         20 |      1,018 |         54 |         21 |      1,093 |
| .github/actions                                                                                            |         15 |        235 |          5 |         15 |        255 |
| .github/actions/build-folly                                                                                |          1 |          7 |          0 |          1 |          8 |
| .github/actions/build-for-benchmarks                                                                       |          1 |          8 |          0 |          1 |          9 |
| .github/actions/increase-max-open-files-on-macos                                                           |          1 |         10 |          0 |          1 |         11 |
| .github/actions/install-gflags                                                                             |          1 |          7 |          0 |          1 |          8 |
| .github/actions/install-gflags-on-macos                                                                    |          1 |          7 |          0 |          1 |          8 |
| .github/actions/install-jdk8-on-macos                                                                      |          1 |          9 |          0 |          1 |         10 |
| .github/actions/install-maven                                                                              |          1 |         11 |          0 |          1 |         12 |
| .github/actions/perform-benchmarks                                                                         |          1 |         22 |          0 |          1 |         23 |
| .github/actions/post-benchmarks                                                                            |          1 |         17 |          0 |          1 |         18 |
| .github/actions/post-steps                                                                                 |          1 |         38 |          0 |          1 |         39 |
| .github/actions/pre-steps                                                                                  |          1 |         18 |          0 |          1 |         19 |
| .github/actions/pre-steps-macos                                                                            |          1 |          5 |          0 |          1 |          6 |
| .github/actions/setup-folly                                                                                |          1 |          7 |          0 |          1 |          8 |
| .github/actions/setup-upstream                                                                             |          1 |         16 |          4 |          1 |         21 |
| .github/actions/windows-build-steps                                                                        |          1 |         53 |          1 |          1 |         55 |
| .github/workflows                                                                                          |          5 |        783 |         49 |          6 |        838 |
| buckifier                                                                                                  |          8 |      8,289 |        131 |        104 |      8,524 |
| build_tools                                                                                                |         17 |      1,789 |        368 |        378 |      2,535 |
| build_tools (Files)                                                                                        |         16 |      1,755 |        349 |        373 |      2,477 |
| build_tools/ubuntu20_image                                                                                 |          1 |         34 |         19 |          5 |         58 |
| cache                                                                                                      |         33 |     12,499 |      3,843 |      2,156 |     18,498 |
| coverage                                                                                                   |          2 |        130 |         37 |         44 |        211 |
| db                                                                                                         |        302 |    213,299 |     30,397 |     34,411 |    278,107 |
| db (Files)                                                                                                 |        201 |    160,293 |     21,615 |     25,450 |    207,358 |
| db/blob                                                                                                    |         45 |      9,644 |        859 |      2,569 |     13,072 |
| db/compaction                                                                                              |         32 |     22,578 |      3,852 |      3,494 |     29,924 |
| db/db_impl                                                                                                 |         16 |     18,863 |      3,880 |      2,371 |     25,114 |
| db/wide                                                                                                    |          8 |      1,921 |        191 |        527 |      2,639 |
| db_stress_tool                                                                                             |         33 |     15,387 |      1,659 |      2,426 |     19,472 |
| docs                                                                                                       |        161 |      6,882 |        153 |      2,337 |      9,372 |
| docs (Files)                                                                                               |          7 |        221 |         34 |         92 |        347 |
| docs/_data                                                                                                 |          7 |        107 |          6 |         39 |        152 |
| docs/_docs                                                                                                 |          2 |         84 |          0 |         44 |        128 |
| docs/_includes                                                                                             |         35 |        819 |          1 |         78 |        898 |
| docs/_includes (Files)                                                                                     |         15 |        468 |          1 |         60 |        529 |
| docs/_includes/content                                                                                     |          2 |         39 |          0 |          4 |         43 |
| docs/_includes/content (Files)                                                                             |          1 |          5 |          0 |          0 |          5 |
| docs/_includes/content/items                                                                               |          1 |         34 |          0 |          4 |         38 |
| docs/_includes/nav                                                                                         |          4 |        112 |          0 |          4 |        116 |
| docs/_includes/plugins                                                                                     |         13 |        199 |          0 |         10 |        209 |
| docs/_includes/ui                                                                                          |          1 |          1 |          0 |          0 |          1 |
| docs/_layouts                                                                                              |         13 |        128 |          0 |         24 |        152 |
| docs/_posts                                                                                                |         69 |      3,465 |         31 |      1,739 |      5,235 |
| docs/_sass                                                                                                 |         15 |      1,610 |         61 |        264 |      1,935 |
| docs/_top-level                                                                                            |          1 |         14 |          0 |          9 |         23 |
| docs/blog                                                                                                  |          2 |         30 |          0 |          4 |         34 |
| docs/css                                                                                                   |          1 |        120 |         17 |         23 |        160 |
| docs/doc-type-examples                                                                                     |          3 |         28 |          1 |         15 |         44 |
| docs/docs                                                                                                  |          1 |          6 |          0 |          1 |          7 |
| docs/static                                                                                                |          5 |        250 |          2 |          5 |        257 |
| docs/static (Files)                                                                                        |          1 |         75 |          1 |          1 |         77 |
| docs/static/images                                                                                         |          4 |        175 |          1 |          4 |        180 |
| env                                                                                                        |         28 |     12,972 |      1,392 |      1,915 |     16,279 |
| examples                                                                                                   |         16 |      1,498 |        250 |        283 |      2,031 |
| file                                                                                                       |         26 |      9,421 |      1,894 |      1,580 |     12,895 |
| fuzz                                                                                                       |          6 |        598 |         58 |        100 |        756 |
| include                                                                                                    |        116 |     17,443 |     15,807 |      4,986 |     38,236 |
| include/rocksdb                                                                                            |        116 |     17,443 |     15,807 |      4,986 |     38,236 |
| include/rocksdb (Files)                                                                                    |         83 |     13,467 |     12,945 |      3,939 |     30,351 |
| include/rocksdb/utilities                                                                                  |         33 |      3,976 |      2,862 |      1,047 |      7,885 |
| include/rocksdb/utilities (Files)                                                                          |         31 |      3,913 |      2,838 |      1,034 |      7,785 |
| include/rocksdb/utilities/lua                                                                              |          2 |         63 |         24 |         13 |        100 |
| java                                                                                                       |        446 |     68,919 |     33,488 |     12,473 |    114,880 |
| java (Files)                                                                                               |          9 |      1,810 |         25 |        199 |      2,034 |
| java/benchmark                                                                                             |          1 |      1,464 |         91 |         83 |      1,638 |
| java/benchmark/src                                                                                         |          1 |      1,464 |         91 |         83 |      1,638 |
| java/benchmark/src/main                                                                                    |          1 |      1,464 |         91 |         83 |      1,638 |
| java/benchmark/src/main/java                                                                               |          1 |      1,464 |         91 |         83 |      1,638 |
| java/benchmark/src/main/java/org                                                                           |          1 |      1,464 |         91 |         83 |      1,638 |
| java/benchmark/src/main/java/org/rocksdb                                                                   |          1 |      1,464 |         91 |         83 |      1,638 |
| java/benchmark/src/main/java/org/rocksdb/benchmark                                                         |          1 |      1,464 |         91 |         83 |      1,638 |
| java/crossbuild                                                                                            |          5 |        134 |         41 |         47 |        222 |
| java/jmh                                                                                                   |          8 |        882 |        106 |        167 |      1,155 |
| java/jmh (Files)                                                                                           |          2 |        135 |          4 |         24 |        163 |
| java/jmh/src                                                                                               |          6 |        747 |        102 |        143 |        992 |
| java/jmh/src/main                                                                                          |          6 |        747 |        102 |        143 |        992 |
| java/jmh/src/main/java                                                                                     |          6 |        747 |        102 |        143 |        992 |
| java/jmh/src/main/java/org                                                                                 |          6 |        747 |        102 |        143 |        992 |
| java/jmh/src/main/java/org/rocksdb                                                                         |          6 |        747 |        102 |        143 |        992 |
| java/jmh/src/main/java/org/rocksdb/jmh                                                                     |          4 |        683 |         48 |        128 |        859 |
| java/jmh/src/main/java/org/rocksdb/util                                                                    |          2 |         64 |         54 |         15 |        133 |
| java/rocksjni                                                                                              |        101 |     23,814 |     11,887 |      3,778 |     39,479 |
| java/samples                                                                                               |          4 |        473 |        140 |        131 |        744 |
| java/samples/src                                                                                           |          4 |        473 |        140 |        131 |        744 |
| java/samples/src/main                                                                                      |          4 |        473 |        140 |        131 |        744 |
| java/samples/src/main/java                                                                                 |          4 |        473 |        140 |        131 |        744 |
| java/src                                                                                                   |        318 |     40,342 |     21,198 |      8,068 |     69,608 |
| java/src/main                                                                                              |        199 |     18,657 |     19,670 |      4,457 |     42,784 |
| java/src/main/java                                                                                         |        199 |     18,657 |     19,670 |      4,457 |     42,784 |
| java/src/main/java/org                                                                                     |        199 |     18,657 |     19,670 |      4,457 |     42,784 |
| java/src/main/java/org/rocksdb                                                                             |        199 |     18,657 |     19,670 |      4,457 |     42,784 |
| java/src/main/java/org/rocksdb (Files)                                                                     |        191 |     18,249 |     19,489 |      4,364 |     42,102 |
| java/src/main/java/org/rocksdb/util                                                                        |          8 |        408 |        181 |         93 |        682 |
| java/src/test                                                                                              |        119 |     21,685 |      1,528 |      3,611 |     26,824 |
| java/src/test/java                                                                                         |        119 |     21,685 |      1,528 |      3,611 |     26,824 |
| java/src/test/java/org                                                                                     |        119 |     21,685 |      1,528 |      3,611 |     26,824 |
| java/src/test/java/org/rocksdb                                                                             |        119 |     21,685 |      1,528 |      3,611 |     26,824 |
| java/src/test/java/org/rocksdb (Files)                                                                     |        102 |     19,788 |      1,189 |      3,266 |     24,243 |
| java/src/test/java/org/rocksdb/test                                                                        |          3 |        156 |         32 |         33 |        221 |
